,x1_id,x2_session,x3_trial,x4_index_forests,x5_order_trials_in_forest_0x28not_days0x29,x6_continuous_energy_trial_start,x7_weather_type,x8_side_options_on_screen,x9_button_pressed,x10_RT,x11_choice,x12_continuous_energy_trial_end,x13_gain_magnitude,x14_p_foraging_gain,x15_not_used_set_to_NaN,x16_horizon_correct_maximum,x17_horizon_correct_adjusted,x18_win_magnitude_high_low,x19_wait_when_safe,x20_energy_change_in_trial,x21_optimal_policy_binary,x22_optimal_policy,x23_pseudo0x2Doptimal_horizon0x2D1_binary,x24_pseudo0x2Doptimal_horizon0x2D1,x25_expected_energy_wO_boundaries,x26_logRT,x27_indifferent_optimal,empty,empty1,empty2,empty3,empty4,empty5,empty6,empty7,empty8,x37_binary_energy,x38_foraging_outcome_win,x39_foraging_outcome_loss,x40_expected_energy_w_boundaries,x41_expected_energy_change,empty9,empty10,empty11,empty12,empty13,empty14,empty15,empty16,empty17,empty18,empty19,x53_fatal_foraging_possible,x54_oneIfNrg1_else_pGain,x55_oneIfNrg1_else_EVenergy,x56_rule0x26PGain3WWS,x57_weather_1_gain_magnitude,x58_weather_2_gain_magnitude,x59_weather_1_p_gain,x60_weather_2_p_gain
6492,322,1,13,68,2,1,2,1,2.0,769,1,0,3,0.5,,4,3,1,0,-1,1,0.5,1,0.5,0.5,6.64509096950564,0,0,0,0,0,0,0,0,0,0,1,4,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1,3,0.1,0.5
6493,322,1,14,68,3,0,0,0,2.0,349,0,0,0,3.0,,4,2,1,0,-1,0,0.0,0,0.0,4.0,5.85507192220243,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,3.0,1,3,0.1,0.5
6494,322,1,15,68,4,0,0,0,2.0,466,0,0,0,3.0,,4,1,1,0,0,0,0.0,0,0.0,4.0,6.14418563412565,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,3.0,1,3,0.1,0.5
6495,322,1,16,1241,1,3,2,1,2.0,630,1,5,3,0.8,,5,5,1,0,0,1,0.1846,2,0.0,2.0,6.44571981938558,0,0,0,0,0,0,0,0,0,0,0,5,1,4.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.2,0.8,2,3,0.6,0.8
6496,322,1,17,1241,2,5,1,1,25.0,846,0,4,2,0.6,,5,4,1,1,2,0,-0.036,2,0.0,0.4,6.74051935960622,0,0,0,0,0,0,0,0,0,0,0,5,3,4.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.6,-0.8,0.0,2,3,0.6,0.8
6497,322,1,18,1241,3,4,1,2,2.0,1670,0,3,2,0.6,,5,3,1,1,-1,0,-0.1,2,0.0,0.4,7.4205789054108,0,0,0,0,0,0,0,0,0,0,0,5,2,3.8,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.6,-0.2,0.0,2,3,0.6,0.8
6498,322,1,19,1241,4,3,2,2,25.0,607,1,5,3,0.8,,5,2,1,1,-1,0,-0.06,2,0.0,2.0,6.4085287910595,0,0,0,0,0,0,0,0,0,0,0,5,1,4.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.2,0.0,2,3,0.6,0.8
6499,322,1,20,1241,5,5,1,1,25.0,685,0,4,2,0.6,,5,1,1,1,2,2,0.0,2,0.0,0.4,6.52941883826223,1,0,0,0,0,0,0,0,0,0,0,5,3,4.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.6,-0.8,0.0,2,3,0.6,0.8
6500,322,1,21,970,1,3,2,1,25.0,1411,0,2,2,0.5,,3,3,2,0,-1,1,0.25,2,0.0,0.0,7.25205395185281,0,0,0,0,0,0,0,0,0,0,0,5,1,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.5,2,2,0.3,0.5
6501,322,1,22,970,2,2,1,2,25.0,1857,1,4,2,0.3,,3,2,2,0,-1,0,-0.1,0,-0.7,-0.8,7.52671756135271,0,0,0,0,0,0,0,0,0,0,0,4,0,1.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,1,0.3,-0.8,0.3,2,2,0.3,0.5
6502,322,1,23,970,3,4,2,1,25.0,650,0,3,2,0.5,,3,1,2,1,2,2,0.0,2,0.0,0.0,6.47697236288968,1,0,0,0,0,0,0,0,0,0,0,5,2,3.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-0.5,0.0,2,2,0.3,0.5
6503,322,1,24,576,1,2,1,2,25.0,1643,1,3,1,0.6,,4,4,1,0,-1,0,-0.05625,0,-0.4,-0.2,7.40427911803727,0,0,0,0,0,0,0,0,0,0,0,3,0,1.8,-0.2,0,0,0,0,0,0,0,0,0,0,0,1,0.6,-0.2,0.6,1,1,0.6,0.9
6504,322,1,25,576,2,3,1,1,25.0,1540,0,2,1,0.6,,4,3,1,0,1,1,0.075,2,0.0,-0.2,7.33953769540767,0,0,0,0,0,0,0,0,0,0,0,4,1,2.8,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.6,-0.2,0.6,1,1,0.6,0.9
6505,322,1,26,576,3,2,2,2,25.0,541,1,3,1,0.9,,4,2,1,0,-1,1,0.15,0,-0.1,0.7,6.29341927884648,0,0,0,0,0,0,0,0,0,0,0,3,0,2.7,0.7,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.7,0.9,1,1,0.6,0.9
6506,322,1,27,576,4,3,2,2,2.0,1171,0,2,1,0.9,,4,1,1,1,1,2,0.0,2,0.0,0.7,7.06561336359772,1,0,0,0,0,0,0,0,0,0,0,4,1,3.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.7,0.0,1,1,0.6,0.9
6507,322,1,28,1061,1,3,2,2,25.0,883,1,5,3,0.5,,4,4,2,0,-1,1,0.25,2,0.0,0.5,6.78332520060396,0,0,0,0,0,0,0,0,0,0,0,5,1,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.5,2,3,0.4,0.5
6508,322,1,29,1061,2,5,1,1,25.0,583,0,4,2,0.4,,4,3,2,1,2,2,0.0,2,0.0,-0.4,6.36818718635049,1,0,0,0,0,0,0,0,0,0,0,5,3,3.8,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-1.2,0.0,2,3,0.4,0.5
6509,322,1,30,1061,3,4,1,1,25.0,644,0,3,2,0.4,,4,2,2,1,-1,2,0.0,2,0.0,-0.4,6.46769872610435,1,0,0,0,0,0,0,0,0,0,0,5,2,3.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.8,0.0,2,3,0.4,0.5
6510,322,1,31,1061,4,3,1,1,25.0,620,0,2,2,0.4,,4,1,2,1,-1,2,0.0,2,0.0,-0.4,6.42971947803914,1,0,0,0,0,0,0,0,0,0,0,5,1,2.6,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.4,0.0,2,3,0.4,0.5
6511,322,1,32,475,1,2,1,2,25.0,731,1,0,2,0.5,,3,3,2,0,-1,0,-0.05,0,-0.5,0.0,6.59441345974978,0,0,0,0,0,0,0,0,0,0,0,4,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.0,0.5,2,2,0.5,0.6
6512,322,1,33,475,2,0,0,0,25.0,478,0,0,0,2.0,,3,2,2,0,-2,0,0.0,0,0.0,2.0,6.16961073249146,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,2.0,2,2,0.5,0.6
6513,322,1,34,475,3,0,0,0,25.0,399,0,0,0,2.0,,3,1,2,0,0,0,0.0,0,0.0,2.0,5.98896141688986,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,2.0,2,2,0.5,0.6
6514,322,1,35,494,1,2,1,2,25.0,886,1,5,3,0.5,,4,4,2,0,0,0,-0.1,0,-0.5,0.5,6.78671695060508,0,0,0,0,0,0,0,0,0,0,0,5,0,2.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,3,4,0.5,0.7
6515,322,1,36,494,2,5,1,1,25.0,859,0,4,3,0.5,,4,3,2,1,3,2,0.0,2,0.0,0.5,6.75576892198426,1,0,0,0,0,0,0,0,0,0,0,5,3,4.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-1.0,0.0,3,4,0.5,0.7
6516,322,1,37,494,3,4,2,2,2.0,1339,0,3,4,0.7,,4,2,2,1,-1,2,0.0,2,0.0,2.2,7.19967834569117,1,0,0,0,0,0,0,0,0,0,0,5,2,4.1,0.0999999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.0999999999999996,0.0,3,4,0.5,0.7
6517,322,1,38,494,4,3,2,2,2.0,917,0,2,4,0.7,,4,1,2,1,-1,2,0.0,2,0.0,2.2,6.82110747225646,1,0,0,0,0,0,0,0,0,0,0,5,1,3.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0.0,3,4,0.5,0.7
6518,322,1,39,466,1,2,1,1,2.0,1067,1,2,0,0.5,,5,5,2,0,-1,0,-0.00135,0,-0.5,-1.0,6.97260625130175,0,0,0,0,0,0,0,0,0,0,0,2,0,1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,-1.0,0.5,0,0,0.5,0.6
6519,322,1,40,466,2,2,2,1,2.0,548,1,0,0,0.6,,5,4,2,0,0,1,0.0278750000000001,0,-0.4,-0.8,6.30627528694802,0,0,0,0,0,0,0,0,0,0,0,2,0,1.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,1,0.6,-0.8,0.6,0,0,0.5,0.6
