x1_id,x2_session,x3_trial,x4_index_forests,x5_order_trials_in_forest,x6_continuous_energy_trial_start,x7_weather_type,x8_side_options_on_screen,x9_button_pressed,x10_RT,x11_choice,x12_continuous_energy_trial_end,x13_index_forests,x14_current_gain_magnitude,xempty,xempty,x17_weather_1_gain_magnitude,x18_weather_2_gain_magnitude,x19_weather_1_p_gain,x20_weather_2_p_gain,x21_dono,x22_dono,x23_dono,x24_dono,x25_dono,x26_dono,x27_expected_energy_no_bounds,x28_expected_energy_w_boundaries,x29_dono,x30_dono,x31_dono
101.0,1.0,34.0,884.0,4.0,3.0,2.0,2.0,98.0,911.0,1.0,1.0,884.0,3.0,0.0,0.0,3.0,4.0,0.2,0.6,2.0,5.0,0.4466,0.514,0.37920000000000004,-1.0,1.5999999999999999,0.29999999999999993,2.0,7.0,884.0
101.0,1.0,35.0,884.0,5.0,1.0,2.0,1.0,97.0,1194.0,1.0,5.0,884.0,3.0,0.0,0.0,3.0,4.0,0.2,0.6,2.0,5.0,0.4466,0.514,0.37920000000000004,-1.0,1.5999999999999999,0.29999999999999993,2.0,7.0,884.0
101.0,1.0,36.0,1743.0,1.0,4.0,1.0,1.0,98.0,1672.0,0.0,3.0,1743.0,4.0,0.0,0.0,0.0,2.0,0.4,0.6,2.0,5.0,0.37840000000000007,0.404,0.3528,-1.2,0.3999999999999999,-0.4,1.0,8.0,1743.0
101.0,1.0,37.0,1743.0,2.0,3.0,2.0,1.0,97.0,1245.0,1.0,5.0,1743.0,4.0,0.0,0.0,0.0,2.0,0.4,0.6,2.0,5.0,0.37840000000000007,0.404,0.3528,-1.2,0.3999999999999999,-0.4,1.0,8.0,1743.0
101.0,1.0,38.0,1743.0,3.0,5.0,1.0,1.0,97.0,1719.0,1.0,5.0,1743.0,4.0,0.0,0.0,0.0,2.0,0.4,0.6,2.0,5.0,0.37840000000000007,0.404,0.3528,-1.2,0.3999999999999999,-0.4,1.0,8.0,1743.0
101.0,1.0,39.0,1743.0,4.0,5.0,2.0,2.0,98.0,1481.0,1.0,3.0,1743.0,4.0,0.0,0.0,0.0,2.0,0.4,0.6,2.0,5.0,0.37840000000000007,0.404,0.3528,-1.2,0.3999999999999999,-0.4,1.0,8.0,1743.0
101.0,1.0,40.0,1743.0,5.0,3.0,2.0,1.0,97.0,1273.0,1.0,5.0,1743.0,4.0,0.0,0.0,0.0,2.0,0.4,0.6,2.0,5.0,0.37840000000000007,0.404,0.3528,-1.2,0.3999999999999999,-0.4,1.0,8.0,1743.0
101.0,1.0,41.0,1111.0,1.0,3.0,2.0,1.0,97.0,1068.0,1.0,3.0,1111.0,3.0,0.0,0.0,0.0,0.0,0.4,0.9,2.0,6.0,0.5010749999999999,0.61524375,0.3869062499999999,-1.2,-0.19999999999999996,-0.7,1.0,9.0,1111.0
101.0,1.0,42.0,1111.0,2.0,3.0,2.0,1.0,97.0,1494.0,1.0,3.0,1111.0,3.0,0.0,0.0,0.0,0.0,0.4,0.9,2.0,6.0,0.5010749999999999,0.61524375,0.3869062499999999,-1.2,-0.19999999999999996,-0.7,1.0,9.0,1111.0
101.0,1.0,43.0,1111.0,3.0,3.0,2.0,2.0,98.0,1351.0,1.0,3.0,1111.0,3.0,0.0,0.0,0.0,0.0,0.4,0.9,2.0,6.0,0.5010749999999999,0.61524375,0.3869062499999999,-1.2,-0.19999999999999996,-0.7,1.0,9.0,1111.0
